infinitive,auxiliary,participle,wrong_aux,wrong_p1,wrong_p2,before_aux,before_participle,after_participle
abfahren,ist,abgefahren,hat,abgefahrt,abfährt,Der Zug , um neun Uhr ,.
abfahren,bin,abgefahren,habe,abgefahrt,abfährt,Ich , gestern früh ,.
abschließen,hat,abgeschlossen,ist,abschließt,abschlossen,Er , die Tür ,.
abschließen,habe,abgeschlossen,bin,abschließt,abschlossen,Ich , das Büro ,.
abtrocknen,hat,abgetrocknet,ist,abtrocknet,abgetrockt,Sie , das Geschirr ,.
abtrocknen,haben,abgetrocknet,sind,abtrocknet,abgetrockt,Wir , die Teller ,.
sich ärgern,hat,geärgert,ist,geärgertet,geärgern,Er , sich über den Stau ,.
sich ärgern,habe,geärgert,bin,geärgertet,geärgern,Ich , mich über die Verspätung ,.
sich ärgern,haben,geärgert,sind,geärgertet,geärgern,Wir , uns über das Wetter ,.
sich ändern,hat,geändert,ist,geändertet,geändert,Die Situation , sich sehr ,.
sich ändern,hast,geändert,bist,geändertet,geändert,Du , dich sehr ,.
anfangen,hat,angefangen,ist,anfangt,angefangt,Sie , früh mit der Arbeit ,.
anfangen,habe,angefangen,ist,anfangt,angefangt,Ich , mit dem Lernen ,.
anrufen,hat,angerufen,ist,angeruftet,anrief,Er , seine Mutter ,.
anrufen,hast,angerufen,bist,angeruftet,anrief,Du , mich gestern ,.
anrufen,haben,angerufen,sind,angeruftet,anrief,Wir , euch an ,.
ankommen,ist,angekommen,hat,angekommt,angekommenen,Der Zug , pünktlich ,.
ankommen,bin,angekommen,habe,angekommt,angekommenen,Ich , spät ,.
antworten,hat,geantwortet,ist,antwortet,geantwort,Sie , auf die Frage ,.
antworten,hast,geantwortet,bist,antwortet,geantwort,Du , nicht ,.
anmachen,hat,angemacht,ist,angemachtet,anmacht,Er , das Licht ,.
anmachen,habe,angemacht,bin,angemachtet,anmacht,Ich , den Herd ,.
anziehen,haben,angezogen,sind,anzieht,angezieht,Sie , sich warm ,.
anziehen,habe,angezogen,bin,anzieht,angezieht,Ich , mich schnell ,.
anziehen,hast,angezogen,bist,anzieht,angezieht,Du , dich elegant ,.
arbeiten,hat,gearbeitet,ist,arbeit,gearbeit,Er , den ganzen Tag ,.
arbeiten,haben,gearbeitet,sind,arbeit,gearbeit,Wir , bis spät ,.
aufhören,hat,aufgehört,ist,aufhörtet,aufgehörtet,Sie , mit dem Rauchen ,.
aufhören,habe,aufgehört,bin,aufhörtet,aufgehörtet,Ich , mit der Arbeit ,.
aufstehen,ist,aufgestanden,hat,aufsteht,aufgestanden,Er , um sechs Uhr ,.
aufstehen,bin,aufgestanden,habe,aufsteht,aufgestanden,Ich , sehr früh ,.
aufstehen,sind,aufgestanden,haben,aufsteht,aufgestanden,Wir , spät ,.
aufräumen,hat,aufgeräumt,ist,aufräumt,aufgeräumtet,Sie , ihr Zimmer ,.
aufräumen,hast,aufgeräumt,bist,aufräumt,aufgeräumtet,Du , dein Zimmer ,.
aufwachen,ist,aufgewacht,hat,aufwacht,aufgewachtet,Er , sehr früh ,.
aufwachen,bin,aufgewacht,habe,aufwacht,aufgewachtet,Ich , um vier Uhr ,.
aufmachen,hat,aufgemacht,ist,aufmachtet,aufmacht,Sie , das Fenster ,.
aufmachen,habe,aufgemacht,bin,aufmachtet,aufmacht,Ich , die Tür ,.
ausmachen,hat,ausgemacht,ist,ausmachtet,ausgemaket,Er , den Fernseher ,.
ausmachen,haben,ausgemacht,sind,ausmachtet,ausgemaket,Wir , das Licht ,.
ausdrucken,hat,ausgedruckt,ist,ausdruckt,ausgedrucktet,Sie , das Dokument ,.
ausdrucken,habe,ausgedruckt,bin,ausdruckt,ausgedrucktet,Ich , die Rechnung ,.
ausschalten,hat,ausgeschaltet,ist,ausschaltet,ausgeschalttet,Er , das Licht ,.
ausschalten,hast,ausgeschaltet,bist,ausschaltet,ausgeschalttet,Du , den Computer ,.
ausleihen,hat,ausgeliehen,ist,ausliehen,ausgeliehtet,Sie , ein Buch ,.
ausleihen,habe,ausgeliehen,bin,ausliehen,ausgeliehtet,Ich , mir ein Fahrrad ,.
auswählen,hat,ausgewählt,ist,auswählt,ausgewähltet,Er , ein Geschenk ,.
auswählen,habt,ausgewählt,seid,auswählt,ausgewähltet,Ihr, ein Restaurant ,.
ansehen,hat,angesehen,ist,anseht,angesieht,Sie , den Film ,.
ansehen,habe,angesehen,bin,anseht,angesieht,Ich , mir das Spiel ,.
abheben,hat,abgehoben,ist,abhebt,abgehebtet,Er , Geld vom Konto ,.
abheben,habt,abgehoben,seid,abhebt,abgehebtet,Ihr, Geld ,.
anprobieren,haben,anprobiert,sind,anprobierten,anprobiertet,Sie , das Kleid ,.
anprobieren,habe,anprobiert,bin,anprobierten,anprobiertet,Ich , die Jacke ,.
ausfüllen,hat,ausgefüllt,ist,ausfüllt,ausgefülltet,Er , das Formular ,.
ausfüllen,hast,ausgefüllt,bist,ausfüllt,ausgefülltet,Du , den Antrag ,.
bekommen,hat,bekommen,ist,bekommt,bekommtet,Sie , ein Paket ,.
bekommen,habe,bekommen,bin,bekommt,bekommtet,Ich , einen Brief ,.
beginnen,hat,begonnen,ist,beginnt,begannt,Er , mit dem Studium ,.
beginnen,haben,begonnen,sind,beginnt,begannt,Wir , die Besprechung ,.
bringen,hat,gebracht,ist,bringt,gebringtet,Sie , einen Kuchen ,.
bringen,habe,gebracht,bin,bringt,gebringtet,Ich , dir ein Geschenk ,.
backen,hat,gebacken,ist,backt,gebakt,Er , einen Kuchen ,.
backen,haben,gebacken,sind,backt,gebakt,Wir , Brot ,.
bieten,hat,geboten,ist,bietet,gebietest,Sie , einen guten Preis ,.
bieten,habe,geboten,bin,bietet,gebietest,Ich , ihm Hilfe ,.
brechen,hat,gebrochen,ist,bricht,gebrechtet,Er , sein Versprechen ,.
brechen,hast,gebrochen,bist,bricht,gebrechtet,Du , die Regel ,.
bestellen,hat,bestellt,ist,bestelltet,bestell,Sie , einen Kaffee ,.
bestellen,habe,bestellt,bin,bestelltet,bestell,Ich , ein Bier ,.
bleiben,ist,geblieben,hat,bleibt,gebliebt,Er , zu Hause ,.
bleiben,bin,geblieben,habe,bleibt,gebliebt,Ich , lange auf der Party ,.
bleiben,sind,geblieben,haben,bleibt,gebliebt,Wir , bis Montag ,.
benutzen,haben,benutzt,sind,benutztet,benutziert,Sie , das Auto ,.
benutzen,habe,benutzt,bin,benutztet,benutziert,Ich , die App ,.
beenden,hat,beendet,ist,beendetest,beendt,Er , die Arbeit früh ,.
beenden,haben,beendet,sind,beendetest,beendt,Wir , das Projekt ,.
bezahlen,haben,bezahlt,sind,bezahltet,bezahlet,Sie , die Rechnung ,.
bezahlen,habe,bezahlt,bin,bezahltet,bezahlet,Ich , mit Karte ,.
brauchen,hat,gebraucht,ist,braucht,gebrauchtet,Er , mehr Zeit ,.
brauchen,hast,gebraucht,bist,braucht,gebrauchtet,Du , das nicht ,.
sich beschweren,hat,beschwert,ist,beschwertet,beschwieren,Sie , sich beim Chef ,.
sich beschweren,habe,beschwert,bin,beschwertet,beschwieren,Ich , mich beim Kellner ,.
sich beschweren,haben,beschwert,sind,beschwertet,beschwieren,Wir , uns über den Lärm ,.
sich bedanken,hat,bedankt,ist,bedanktet,bedankiert,Er , sich bei ihr ,.
sich bedanken,habe,bedankt,bin,bedanktet,bedankiert,Ich , mich bei ihm ,.
befehlen,haben,befohlen,sind,befiehlt,befehltet,Sie , ihm zu schweigen ,.
befehlen,hat,befohlen,ist,befiehlt,befehltet,Er , ihr zu warten ,.
beißen,hat,gebissen,ist,beißt,gebisstet,Der Hund , ihn ,.
beißen,hat,gebissen,ist,beißt,gebisstet,Die Katze , mich ,.
bitten,hat,gebeten,ist,bittet,gebitttet,Er , um Hilfe ,.
bitten,habe,gebeten,bin,bittet,gebitttet,Ich , dich um einen Gefallen ,.
beobachten,hat,beobachtet,ist,beobachtetest,beobachtiert,Sie , die Vögel ,.
beobachten,haben,beobachtet,sind,beobachtetest,beobachtiert,Wir , die Lage ,.
denken,hat,gedacht,ist,denkt,gedenktet,Er , an sie ,.
denken,habe,gedacht,bin,denkt,gedenktet,Ich , an dich ,.
denken,hast,gedacht,bist,denkt,gedenktet,Du , daran ,.
sich duschen,haben,geduscht,sind,duschtet,geduschtet,Sie , sich nach dem Sport ,.
sich duschen,habe,geduscht,bin,duschtet,geduschtet,Ich , mich kalt ,.
sich duschen,haben,geduscht,sind,duschtet,geduschtet,Wir , uns schnell ,.
sich erinnern,hat,erinnert,ist,erinnertet,erinniert,Er , sich an die Reise ,.
sich erinnern,habe,erinnert,bin,erinnertet,erinniert,Ich , mich nicht daran ,.
sich erinnern,hast,erinnert,bist,erinnertet,erinniert,Du , dich gut daran ,.
erzählen,hat,erzählt,ist,erzähltet,erzählet,Sie , eine Geschichte ,.
erzählen,habe,erzählt,bin,erzähltet,erzählet,Ich , dir alles ,.
einsteigen,ist,eingestiegen,hat,einsteigt,eingestiegtet,Er , in den Bus ,.
einsteigen,sind,eingestiegen,haben,einsteigt,eingestiegtet,Wir , in die U-Bahn ,.
essen,hat,gegessen,ist,isst,geesst,Sie , einen Apfel ,.
essen,habe,gegessen,sind,isst,geesst,Ich , zu viel ,.
essen,habe,gegessen,bist,isst,geesst,Du , das gerne ,.
einkaufen,hat,eingekauft,ist,einkauft,eingekauftet,Er , im Supermarkt ,.
einkaufen,habe,eingekauft,bist,einkauft,eingekauftet,Ich , für die Woche ,.
einladen,hat,eingeladen,ist,einlädt,eingeladtet,Sie , ihre Freunde ,.
einladen,habe,eingeladen,bin,einlädt,eingeladtet,Ich , dich zum Essen ,.
empfehlen,hat,empfohlen,ist,empfiehlt,empfehltet,Er , ein gutes Restaurant ,.
empfehlen,hast,empfohlen,bin,empfiehlt,empfehltet,Du , mir das Buch ,.
sich erkälten,hat,erkältet,ist,erkältetet,erkältiert,Sie , sich im Winter ,.
sich erkälten,habe,erkältet,bin,erkältetet,erkältiert,Ich , mich letzte Woche ,.
sich erkälten,hat,erkältet,ist,erkältetet,erkältiert,Er , sich beim Camping ,.
erfinden,hat,erfunden,ist,erfindet,erfindtet,Er , eine neue Maschine ,.
erfinden,haben,erfunden,sind,erfindet,erfindtet,Wir , eine Lösung ,.
erhalten,hat,erhalten,ist,erhält,erhalttet,Sie , einen Brief ,.
erhalten,habe,erhalten,bin,erhält,erhalttet,Ich , eine Antwort ,.
sich erschrecken,hat,erschrocken,ist,erschreckt,erschrecktet,Er , sich sehr ,.
sich erschrecken,habe,erschrocken,bin,erschreckt,erschrecktet,Ich , mich sehr ,.
sich erschrecken,haben,erschrocken,sind,erschreckt,erschrecktet,Wir , uns im Dunkeln ,.
einbrechen,ist,eingebrochen,hat,einbricht,eingebrechtet,Ein Dieb , in das Haus ,.
einbrechen,ist,eingebrochen,hat,einbricht,eingebrechtet,Jemand , in das Büro ,.
entscheiden,hat,entschieden,ist,entscheidet,entschiedtet,Er , sich schnell ,.
entscheiden,habe,entschieden,bin,entscheidet,entschiedtet,Ich , mich für das Rote ,.
entscheiden,haben,entschieden,sind,entscheidet,entschiedtet,Wir , uns gemeinsam ,.
erleben,haben,erlebt,sind,erlebet,erlebiert,Sie , viel auf der Reise ,.
erleben,habe,erlebt,bin,erlebet,erlebiert,Ich , etwas Schönes ,.
eröffnen,hat,eröffnet,ist,eröffnetet,eröffniert,Er , ein neues Café ,.
eröffnen,haben,eröffnet,sind,eröffnetet,eröffniert,Sie , ein Konto ,.
erkennen,hat,erkannt,ist,erkennt,erkanntet,Sie , ihn sofort ,.
erkennen,habe,erkannt,bin,erkennt,erkanntet,Ich , das Problem ,.
fahren,ist,gefahren,hat,gefahrt,gefährt,Er , nach Berlin ,.
fahren,bin,gefahren,habe,gefahrt,gefährt,Ich , mit dem Zug ,.
fahren,sind,gefahren,haben,gefahrt,gefährt,Wir , ans Meer ,.
fliegen,sind,geflogen,haben,gefliegt,geflogt,Sie , nach London ,.
fliegen,bin,geflogen,habe,gefliegt,geflogt,Ich , nach Madrid ,.
fragen,hat,gefragt,ist,fragt,gefragtet,Er , nach dem Weg ,.
fragen,habe,gefragt,bin,fragt,gefragtet,Ich , dich etwas ,.
fragen,hast,gefragt,bist,fragt,gefragtet,Du , mich das ,.
sich freuen,hat,gefreut,ist,freutet,gefreutet,Sie , sich über das Geschenk ,.
sich freuen,habe,gefreut,bin,freutet,gefreutet,Ich , mich auf den Urlaub ,.
sich freuen,haben,gefreut,sind,freutet,gefreutet,Wir , uns sehr ,.
sich föhnen,hat,geföhnt,ist,föhntet,geföhntet,Er , sich die Haare ,.
sich föhnen,habe,geföhnt,bin,föhntet,geföhntet,Ich , mir die Haare ,.
fallen,ist,gefallen,hat,fallt,gefallt,Sie , auf der Treppe ,.
fallen,bin,gefallen,habe,fallt,gefallt,Ich , hin ,.
fangen,hat,gefangen,ist,fängt,gefangtet,Er , den Ball ,.
fangen,haben,gefangen,sind,fängt,gefangtet,Wir , einen Fisch ,.
finden,haben,gefunden,sind,findet,gefindtet,Sie , ihren Schlüssel ,.
finden,habe,gefunden,bin,findet,gefindtet,Ich , das gut ,.
finden,hast,gefunden,bist,findet,gefindtet,Du , keinen Platz ,.
fließen,ist,geflossen,hat,fließt,geflosstet,Das Wasser , schnell ,.
